fold,model,subset_accuracy,number_level_accuracy,avg_hit,precision_at_6,recall_at_6,brier_score
3,soft_voting_ensemble,0.0,0.7703703703703704,0.8333333333333334,0.1388888888888889,0.1388888888888889,0.19636502827876395
4,freq_heuristic,0.0,0.7703703703703704,0.8333333333333334,0.1388888888888889,0.1388888888888889,
4,gap_heuristic,0.0,0.7674074074074074,0.7666666666666667,0.1277777777777778,0.1277777777777778,
4,random_baseline,0.0,0.7837037037037037,1.1333333333333333,0.18888888888888888,0.18888888888888888,
4,logistic_regression,0.0,0.7718518518518519,0.8666666666666667,0.14444444444444446,0.14444444444444446,0.3372263367906499
4,soft_voting_ensemble,0.0,0.7659259259259259,0.7333333333333333,0.12222222222222222,0.12222222222222222,0.1987024494635469
5,freq_heuristic,0.0,0.7851851851851852,1.1666666666666667,0.19444444444444445,0.19444444444444445,
5,gap_heuristic,0.0,0.7688888888888888,0.8,0.13333333333333333,0.13333333333333333,
5,random_baseline,0.0,0.7703703703703704,0.8333333333333334,0.1388888888888889,0.1388888888888889,
5,logistic_regression,0.0,0.7644444444444445,0.7,0.11666666666666665,0.11666666666666665,0.3820148498758153
5,soft_voting_ensemble,0.0,0.7614814814814815,0.6333333333333333,0.10555555555555556,0.10555555555555556,0.21257192012410747
6,freq_heuristic,0.0,0.7718518518518519,0.8666666666666667,0.14444444444444446,0.14444444444444446,
6,gap_heuristic,0.0,0.7659259259259259,0.7333333333333333,0.12222222222222222,0.12222222222222222,
6,random_baseline,0.0,0.7688888888888888,0.8,0.13333333333333333,0.13333333333333333,
6,logistic_regression,0.0,0.7733333333333333,0.9,0.15,0.15,0.32733263609880875
6,soft_voting_ensemble,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,0.20049731662985057
7,freq_heuristic,0.0,0.7644444444444445,0.7,0.11666666666666665,0.11666666666666665,
7,gap_heuristic,0.0,0.7659259259259259,0.7333333333333333,0.12222222222222222,0.12222222222222222,
7,random_baseline,0.0,0.7777777777777778,1.0,0.16666666666666666,0.16666666666666666,
7,logistic_regression,0.0,0.7674074074074074,0.7666666666666667,0.1277777777777778,0.1277777777777778,0.2973955400613012
7,soft_voting_ensemble,0.0,0.7718518518518519,0.8666666666666667,0.14444444444444446,0.14444444444444446,0.1844425695204141
8,freq_heuristic,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,
